,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score overall
support,5030,5013,0.931594145,10043,10043,sessions_labeled_emotion_anxiety,decision_tree,0.931594145
precision,0.975421687,0.98733863,0.981291269,0.981380158,0.981365586,sessions_labeled_agency_012,random_forest,0.981291269
recall,0.999762075,0.998799808,0.999283068,0.999280941,0.999283068,sessions_labeled_emotion_anxiety,random_forest,0.999283068
f1-score,0.999286564,0.999279539,0.999283068,0.999283051,0.999283067,sessions_labeled_emotion_anxiety,random_forest,0.999283068
support,4203,4166,0.999283068,8369,8369,sessions_labeled_emotion_anxiety,random_forest,0.999283068
precision,0.978077572,0.987166831,0.982567353,0.982622201,0.982610567,sessions_labeled_emotion_calm,random_forest,0.982567353
recall,0.962624254,0.997805705,0.980185204,0.98021498,0.980185204,sessions_labeled_emotion_anxiety,KNN,0.980185204
f1-score,0.979864414,0.980495933,0.980185204,0.980180173,0.980179639,sessions_labeled_emotion_anxiety,KNN,0.980185204
support,5030,5013,0.980185204,10043,10043,sessions_labeled_emotion_anxiety,KNN,0.980185204
precision,0.975521958,0.986201706,0.980743285,0.980861832,0.980804851,sessions_labeled_more,random_forest,0.980743285
recall,0.999203346,0,0.99761384,0.499601673,0.99761384,sessions_labeled_emotion_anxiety,SVM,0.99761384
f1-score,0.998805495,0,0.99761384,0.499402747,0.997216621,sessions_labeled_emotion_anxiety,SVM,0.99761384
support,5021,8,0.99761384,5029,5029,sessions_labeled_emotion_anxiety,SVM,0.99761384
precision,0.976473442,0.986145473,0.981261482,0.981309457,0.981310049,sessions_labeled_space,random_forest,0.981261482
recall,0.893872647,0.820285772,0.857171535,0.857079209,0.857171535,sessions_labeled_emotion_boredom,decision_tree,0.857171535
f1-score,0.86252536,0.851383812,0.857171535,0.856954586,0.856968565,sessions_labeled_emotion_boredom,decision_tree,0.857171535
support,4994,4969,0.857171535,9963,9963,sessions_labeled_emotion_boredom,decision_tree,0.857171535
precision,0.971256039,0.980352645,0.975709001,0.975804342,0.975754989,sessions_labeled_agency,random_forest,0.975709001
recall,0.997843795,0.989828046,0.993857642,0.99383592,0.993857642,sessions_labeled_emotion_boredom,random_forest,0.993857642
f1-score,0.993914807,0.993799392,0.993857642,0.9938571,0.993857412,sessions_labeled_emotion_boredom,random_forest,0.993857642
support,4174,4129,0.993857642,8303,8303,sessions_labeled_emotion_boredom,random_forest,0.993857642
precision,1,0.979667644,0.989654829,0.989833822,0.989865171,sessions_labeled_emotion_shame,KNN,0.989654829
recall,0.885062074,0.993157577,0.938974205,0.939109826,0.938974205,sessions_labeled_emotion_boredom,KNN,0.938974205
f1-score,0.935647756,0.941973659,0.938974205,0.938810708,0.938802771,sessions_labeled_emotion_boredom,KNN,0.938974205
support,4994,4969,0.938974205,9963,9963,sessions_labeled_emotion_boredom,KNN,0.938974205
precision,0.999796583,0.97878139,0.989057993,0.989288986,0.98928376,sessions_labeled_emotion_disgust,decision_tree,0.989057993
recall,0.997789833,0,0.987472659,0.498894917,0.987472659,sessions_labeled_emotion_boredom,SVM,0.987472659
f1-score,0.993696848,0,0.987472659,0.496848424,0.983421995,sessions_labeled_emotion_boredom,SVM,0.987472659
support,4977,52,0.987472659,5029,5029,sessions_labeled_emotion_boredom,SVM,0.987472659
precision,0.999186661,0.978578384,0.988660101,0.988882522,0.988877398,sessions_labeled_emotion_disgust,KNN,0.988660101
recall,0.830082445,0.883778234,0.856649396,0.85693034,0.856649396,sessions_labeled_emotion_calm,decision_tree,0.856649396
f1-score,0.854039516,0.859167582,0.856649396,0.856603549,0.856576718,sessions_labeled_emotion_calm,decision_tree,0.856649396
support,4973,4870,0.856649396,9843,9843,sessions_labeled_emotion_calm,decision_tree,0.856649396
precision,0.966658613,0.975903614,0.971144279,0.971281114,0.971194873,sessions_labeled_emotion_happiness,random_forest,0.971144279
recall,0.987354086,0.97775605,0.982567353,0.982555068,0.982567353,sessions_labeled_emotion_calm,random_forest,0.982567353
f1-score,0.982693937,0.982438905,0.982567353,0.982566421,0.982566747,sessions_labeled_emotion_calm,random_forest,0.982567353
support,4112,4091,0.982567353,8203,8203,sessions_labeled_emotion_calm,random_forest,0.982567353
precision,0.892081031,0.964253798,0.924692106,0.928167415,0.927795841,sessions_labeled_space_012,decision_tree,0.924692106
recall,0.839533481,0.980698152,0.909377222,0.910115816,0.909377222,sessions_labeled_emotion_calm,KNN,0.909377222
f1-score,0.903484094,0.91459211,0.909377222,0.909038102,0.908979984,sessions_labeled_emotion_calm,KNN,0.909377222
support,4973,4870,0.909377222,9843,9843,sessions_labeled_emotion_calm,KNN,0.909377222
precision,0.997733361,0.963776493,0.980185204,0.980754927,0.980783667,sessions_labeled_emotion_anxiety,KNN,0.980185204
recall,0.995340357,0,0.976933784,0.497670178,0.976933784,sessions_labeled_emotion_calm,SVM,0.976933784
f1-score,0.988332327,0,0.976933784,0.494166164,0.970055353,sessions_labeled_emotion_calm,SVM,0.976933784
support,4936,93,0.976933784,5029,5029,sessions_labeled_emotion_calm,SVM,0.976933784
precision,0.800296834,0.959590793,0.862743132,0.879943813,0.879560511,sessions_labeled_time_765,decision_tree,0.862743132
recall,0.97830414,0.999801153,0.989057993,0.989052647,0.989057993,sessions_labeled_emotion_disgust,decision_tree,0.989057993
f1-score,0.988933602,0.989179618,0.989057993,0.98905661,0.989056671,sessions_labeled_emotion_disgust,decision_tree,0.989057993
support,5024,5029,0.989057993,10053,10053,sessions_labeled_emotion_disgust,decision_tree,0.989057993
precision,0.935967302,0.954276383,0.944903856,0.945121843,0.945095392,sessions_labeled_emotion_anger,decision_tree,0.944903856
recall,1,0.998570407,0.999283753,0.999285204,0.999283753,sessions_labeled_emotion_disgust,random_forest,0.999283753
f1-score,0.999282811,0.999284692,0.999283753,0.999283752,0.999283754,sessions_labeled_emotion_disgust,random_forest,0.999283753
support,4180,4197,0.999283753,8377,8377,sessions_labeled_emotion_disgust,random_forest,0.999283753
precision,0.962651344,0.939150851,0.950620994,0.950901098,0.950924636,sessions_labeled_emotion_interest,decision_tree,0.950620994
recall,0.978105096,0.999204613,0.988660101,0.988654854,0.988660101,sessions_labeled_emotion_disgust,KNN,0.988660101
f1-score,0.988533494,0.988783943,0.988660101,0.988658719,0.988658781,sessions_labeled_emotion_disgust,KNN,0.988660101
support,5024,5029,0.988660101,10053,10053,sessions_labeled_emotion_disgust,KNN,0.988660101
precision,0.990773747,0.936162152,0.962082006,0.96346795,0.963674482,sessions_labeled_emotion_sadness,KNN,0.962082006
recall,1,0,0.999204613,0.5,0.999204613,sessions_labeled_emotion_disgust,SVM,0.999204613
f1-score,0.999602148,0,0.999204613,0.499801074,0.998807078,sessions_labeled_emotion_disgust,SVM,0.999204613
support,5025,4,0.999204613,5029,5029,sessions_labeled_emotion_disgust,SVM,0.999204613
precision,0.994214699,0.926815642,0.958154827,0.960515171,0.960612539,sessions_labeled_emotion_anger,KNN,0.958154827
recall,0.830740892,0.860142797,0.845252902,0.845441845,0.845252902,sessions_labeled_emotion_happiness,decision_tree,0.845252902
f1-score,0.844657164,0.845844089,0.845252902,0.845250626,0.845242999,sessions_labeled_emotion_happiness,decision_tree,0.845252902
support,4886,4762,0.845252902,9648,9648,sessions_labeled_emotion_happiness,decision_tree,0.845252902
precision,0.888716356,0.91565242,0.901581722,0.902184388,0.902062398,sessions_labeled_finished,random_forest,0.901581722
recall,0.977045177,0.965019011,0.971144279,0.971032094,0.971144279,sessions_labeled_emotion_happiness,random_forest,0.971144279
f1-score,0.971824144,0.970430793,0.971144279,0.971127468,0.971140466,sessions_labeled_emotion_happiness,random_forest,0.971144279
support,4095,3945,0.971144279,8040,8040,sessions_labeled_emotion_happiness,random_forest,0.971144279
precision,0.904677673,0.913390663,0.908945046,0.909034168,0.908999218,sessions_labeled_regret_765,decision_tree,0.908945046
recall,0.769750307,0.975220496,0.871165008,0.872485401,0.871165008,sessions_labeled_emotion_happiness,KNN,0.871165008
f1-score,0.858185967,0.881967524,0.871165008,0.870076746,0.869923921,sessions_labeled_emotion_happiness,KNN,0.871165008
