,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score overall
support,4918,4880,0.910389875,9798,9798,sessions_labeled_space,KNN,0.910389875
precision,0.997413965,0,0.9970173,0.498706982,0.994835643,sessions_labeled_emotion_anger,SVM,0.9970173
recall,0.995492727,0,0.966196063,0.497746363,0.966196063,sessions_labeled_space,SVM,0.966196063
f1-score,0.982807443,0,0.966196063,0.491403722,0.953884098,sessions_labeled_space,SVM,0.966196063
support,4881,148,0.966196063,5029,5029,sessions_labeled_space,SVM,0.966196063
precision,0.99840796,0,0.99761384,0.49920398,0.996819719,sessions_labeled_emotion_anxiety,SVM,0.99761384
recall,0.96802558,0.880456956,0.924692106,0.924241268,0.924692106,sessions_labeled_space_012,decision_tree,0.924692106
f1-score,0.928502971,0.920452122,0.924692106,0.924477547,0.924518995,sessions_labeled_space_012,decision_tree,0.924692106
support,5004,4902,0.924692106,9906,9906,sessions_labeled_space_012,decision_tree,0.924692106
precision,0.989637306,0,0.987472659,0.494818653,0.979404428,sessions_labeled_emotion_boredom,SVM,0.987472659
recall,0.996157541,0.987778049,0.992004846,0.991967795,0.992004846,sessions_labeled_space_012,random_forest,0.992004846
f1-score,0.992107151,0.991899853,0.992004846,0.992003502,0.992004419,sessions_labeled_space_012,random_forest,0.992004846
support,4164,4091,0.992004846,8255,8255,sessions_labeled_space_012,random_forest,0.992004846
precision,0.981422293,0,0.976933784,0.490711147,0.963273104,sessions_labeled_emotion_calm,SVM,0.976933784
recall,0.863509193,0.993268054,0.927720573,0.928388623,0.927720573,sessions_labeled_space_012,KNN,0.927720573
f1-score,0.923487925,0.93150947,0.927720573,0.927498697,0.927457399,sessions_labeled_space_012,KNN,0.927720573
support,5004,4902,0.927720573,9906,9906,sessions_labeled_space_012,KNN,0.927720573
precision,0.999204613,0,0.999204613,0.499602307,0.998409859,sessions_labeled_emotion_disgust,SVM,0.999204613
recall,0.996764408,0,0.980115331,0.498382204,0.980115331,sessions_labeled_space_012,SVM,0.980115331
f1-score,0.989957823,0,0.980115331,0.494978911,0.973422437,sessions_labeled_space_012,SVM,0.980115331
support,4945,84,0.980115331,5029,5029,sessions_labeled_space_012,SVM,0.980115331
precision,0.999204138,0,0.998608073,0.499602069,0.998409385,sessions_labeled_emotion_sadness,SVM,0.998608073
recall,0.89120835,0.824903514,0.858253407,0.858055932,0.858253407,sessions_labeled_time,decision_tree,0.858253407
f1-score,0.863477246,0.852613899,0.858253407,0.858045573,0.858077927,sessions_labeled_time,decision_tree,0.858253407
support,4982,4923,0.858253407,9905,9905,sessions_labeled_time,decision_tree,0.858253407
precision,0.999801153,0,0.999801153,0.499900577,0.999602346,sessions_labeled_emotion_shame,SVM,0.999801153
recall,0.993270848,0.984363548,0.988853889,0.988817198,0.988853889,sessions_labeled_time,random_forest,0.988853889
f1-score,0.988992582,0.988711656,0.988853889,0.988852119,0.988853276,sessions_labeled_time,random_forest,0.988853889
support,4161,4093,0.988853889,8254,8254,sessions_labeled_time,random_forest,0.988853889
precision,0.981644054,0,0.978325711,0.490822027,0.963685961,sessions_labeled_regret,SVM,0.978325711
recall,0.849056604,0.985984156,0.917112569,0.91752038,0.917112569,sessions_labeled_time,KNN,0.917112569
f1-score,0.911539705,0.922024884,0.917112569,0.916782294,0.916751066,sessions_labeled_time,KNN,0.917112569
support,4982,4923,0.917112569,9905,9905,sessions_labeled_time,KNN,0.917112569
precision,0.992628014,0,0.990654206,0.496314007,0.985324924,sessions_labeled_regret_765,SVM,0.990654206
recall,0.996963563,0,0.979319944,0.498481781,0.979319944,sessions_labeled_time,SVM,0.979319944
f1-score,0.989551939,0,0.979319944,0.494775969,0.972039487,sessions_labeled_time,SVM,0.979319944
support,4940,89,0.979319944,5029,5029,sessions_labeled_time,SVM,0.979319944
precision,0.970441382,0,0.966196063,0.485220691,0.941881962,sessions_labeled_space,SVM,0.966196063
recall,0.968469367,0.755994358,0.862743132,0.862231863,0.862743132,sessions_labeled_time_765,decision_tree,0.862743132
f1-score,0.876388262,0.84571171,0.862743132,0.861049986,0.861123801,sessions_labeled_time_765,decision_tree,0.862743132
support,5011,4963,0.862743132,9974,9974,sessions_labeled_time_765,decision_tree,0.862743132
precision,0.983243567,0,0.980115331,0.491621783,0.96682033,sessions_labeled_space_012,SVM,0.980115331
recall,0.997618481,0.989788476,0.993743985,0.993703478,0.993743985,sessions_labeled_time_765,random_forest,0.993743985
f1-score,0.993831554,0.993653893,0.993743985,0.993742724,0.993743643,sessions_labeled_time_765,random_forest,0.993743985
support,4199,4113,0.993743985,8312,8312,sessions_labeled_time_765,random_forest,0.993743985
precision,0.982249701,0,0.979319944,0.49112485,0.964866479,sessions_labeled_time,SVM,0.979319944
recall,0.891837956,0.986903083,0.939141769,0.93937052,0.939141769,sessions_labeled_time_765,KNN,0.939141769
f1-score,0.936406496,0.941651447,0.939141769,0.939028971,0.93901635,sessions_labeled_time_765,KNN,0.939141769
support,5011,4963,0.939141769,9974,9974,sessions_labeled_time_765,KNN,0.939141769
precision,0.990240988,0,0.988665739,0.495120494,0.980592587,sessions_labeled_time_765,SVM,0.988665739
recall,0.998393574,0,0.988665739,0.499196787,0.988665739,sessions_labeled_time_765,SVM,0.988665739
f1-score,0.99430057,0,0.988665739,0.497150285,0.984612614,sessions_labeled_time_765,SVM,0.988665739
support,4980,49,0.988665739,5029,5029,sessions_labeled_time_765,SVM,0.988665739
