,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score
f1-score,0.33333333333333337,0.6,0.5,0.4666666666666667,0.43333333333333335,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_interest-expectancy,naive_bayes,0.5
support,5.0,3.0,0.5,8.0,8.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_emotion_interest-expectancy,naive_bayes,0.5
precision,0.42857142857142855,0.5714285714285714,0.5,0.5,0.5102040816326531,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,decision_tree,0.5
recall,0.5,0.5,0.5,0.5,0.5,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,decision_tree,0.5
f1-score,0.4615384615384615,0.5333333333333333,0.5,0.49743589743589745,0.5025641025641026,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,decision_tree,0.5
support,6.0,8.0,0.5,14.0,14.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,decision_tree,0.5
precision,0.6,0.6666666666666666,0.6363636363636364,0.6333333333333333,0.6363636363636364,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,random_forest,0.6363636363636364
recall,0.6,0.6666666666666666,0.6363636363636364,0.6333333333333333,0.6363636363636364,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,random_forest,0.6363636363636364
f1-score,0.6,0.6666666666666666,0.6363636363636364,0.6333333333333333,0.6363636363636364,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,random_forest,0.6363636363636364
support,5.0,6.0,0.6363636363636364,11.0,11.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,random_forest,0.6363636363636364
precision,0.42857142857142855,0.5714285714285714,0.5,0.5,0.5102040816326531,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,naive_bayes,0.5
recall,0.5,0.5,0.5,0.5,0.5,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,naive_bayes,0.5
f1-score,0.4615384615384615,0.5333333333333333,0.5,0.49743589743589745,0.5025641025641026,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,naive_bayes,0.5
support,6.0,8.0,0.5,14.0,14.0,user-sessions_features_labeled_f_esm_more_than_intention_Yes_f_esm_regret_7.0,naive_bayes,0.5
