,no_rabbithole,rabbit_hole,accuracy,macro avg,weighted avg,target,algorithm,score
support,9.0,8.0,0.5882352941176471,17.0,17.0,sessions_labeled_emotion_anger,random_forest,0.5882352941176471
precision,0.7272727272727273,0.6666666666666666,0.7,0.696969696969697,0.7,sessions_labeled_emotion_anger,KNN,0.7
recall,0.7272727272727273,0.6666666666666666,0.7,0.696969696969697,0.7,sessions_labeled_emotion_anger,KNN,0.7
f1-score,0.7272727272727273,0.6666666666666666,0.7,0.696969696969697,0.7,sessions_labeled_emotion_anger,KNN,0.7
support,11.0,9.0,0.7,20.0,20.0,sessions_labeled_emotion_anger,KNN,0.7
precision,0.6,0.5,0.55,0.55,0.5549999999999999,sessions_labeled_emotion_anger,naive_bayes,0.55
recall,0.5454545454545454,0.5555555555555556,0.55,0.5505050505050505,0.55,sessions_labeled_emotion_anger,naive_bayes,0.55
f1-score,0.5714285714285713,0.5263157894736842,0.55,0.5488721804511277,0.5511278195488721,sessions_labeled_emotion_anger,naive_bayes,0.55
support,11.0,9.0,0.55,20.0,20.0,sessions_labeled_emotion_anger,naive_bayes,0.55
precision,0.0,0.45,0.45,0.225,0.20249999999999999,sessions_labeled_emotion_anger,SVM,0.45
recall,0.0,1.0,0.45,0.5,0.45,sessions_labeled_emotion_anger,SVM,0.45
f1-score,0.0,0.6206896551724138,0.45,0.3103448275862069,0.2793103448275862,sessions_labeled_emotion_anger,SVM,0.45
support,11.0,9.0,0.45,20.0,20.0,sessions_labeled_emotion_anger,SVM,0.45
precision,0.16666666666666666,0.4444444444444444,0.3333333333333333,0.3055555555555555,0.3333333333333333,sessions_labeled_emotion_anxiety,decision_tree,0.3333333333333333
recall,0.16666666666666666,0.4444444444444444,0.3333333333333333,0.3055555555555555,0.3333333333333333,sessions_labeled_emotion_anxiety,decision_tree,0.3333333333333333
f1-score,0.16666666666666666,0.4444444444444444,0.3333333333333333,0.3055555555555555,0.3333333333333333,sessions_labeled_emotion_anxiety,decision_tree,0.3333333333333333
support,6.0,9.0,0.3333333333333333,15.0,15.0,sessions_labeled_emotion_anxiety,decision_tree,0.3333333333333333
precision,0.4,0.5,0.4166666666666667,0.45,0.4583333333333333,sessions_labeled_emotion_anxiety,random_forest,0.4166666666666667
recall,0.8,0.14285714285714285,0.4166666666666667,0.4714285714285714,0.4166666666666667,sessions_labeled_emotion_anxiety,random_forest,0.4166666666666667
f1-score,0.5333333333333333,0.22222222222222224,0.4166666666666667,0.37777777777777777,0.35185185185185186,sessions_labeled_emotion_anxiety,random_forest,0.4166666666666667
support,5.0,7.0,0.4166666666666667,12.0,12.0,sessions_labeled_emotion_anxiety,random_forest,0.4166666666666667
precision,0.2727272727272727,0.25,0.26666666666666666,0.26136363636363635,0.2590909090909091,sessions_labeled_emotion_anxiety,KNN,0.26666666666666666
recall,0.5,0.1111111111111111,0.26666666666666666,0.3055555555555556,0.26666666666666666,sessions_labeled_emotion_anxiety,KNN,0.26666666666666666
f1-score,0.3529411764705882,0.15384615384615383,0.26666666666666666,0.25339366515837103,0.23348416289592755,sessions_labeled_emotion_anxiety,KNN,0.26666666666666666
support,6.0,9.0,0.26666666666666666,15.0,15.0,sessions_labeled_emotion_anxiety,KNN,0.26666666666666666
precision,0.5,0.6666666666666666,0.6,0.5833333333333333,0.6,sessions_labeled_emotion_anxiety,naive_bayes,0.6
recall,0.5,0.6666666666666666,0.6,0.5833333333333333,0.6,sessions_labeled_emotion_anxiety,naive_bayes,0.6
f1-score,0.5,0.6666666666666666,0.6,0.5833333333333333,0.6,sessions_labeled_emotion_anxiety,naive_bayes,0.6
support,6.0,9.0,0.6,15.0,15.0,sessions_labeled_emotion_anxiety,naive_bayes,0.6
precision,0.4,0.0,0.4,0.2,0.16000000000000003,sessions_labeled_emotion_anxiety,SVM,0.4
recall,1.0,0.0,0.4,0.5,0.4,sessions_labeled_emotion_anxiety,SVM,0.4
f1-score,0.5714285714285715,0.0,0.4,0.28571428571428575,0.2285714285714286,sessions_labeled_emotion_anxiety,SVM,0.4
support,6.0,9.0,0.4,15.0,15.0,sessions_labeled_emotion_anxiety,SVM,0.4
precision,0.5396825396825397,0.5483870967741935,0.5425531914893617,0.5440348182283665,0.5439422165571788,sessions_labeled_emotion_boredom,decision_tree,0.5425531914893617
recall,0.7083333333333334,0.3695652173913043,0.5425531914893617,0.5389492753623188,0.5425531914893617,sessions_labeled_emotion_boredom,decision_tree,0.5425531914893617
f1-score,0.6126126126126126,0.44155844155844154,0.5425531914893617,0.527085527085527,0.5289052523095077,sessions_labeled_emotion_boredom,decision_tree,0.5425531914893617
support,48.0,46.0,0.5425531914893617,94.0,94.0,sessions_labeled_emotion_boredom,decision_tree,0.5425531914893617
precision,0.6285714285714286,0.6046511627906976,0.6153846153846154,0.6166112956810631,0.6166112956810631,sessions_labeled_emotion_boredom,random_forest,0.6153846153846154
recall,0.5641025641025641,0.6666666666666666,0.6153846153846154,0.6153846153846154,0.6153846153846154,sessions_labeled_emotion_boredom,random_forest,0.6153846153846154
f1-score,0.5945945945945945,0.6341463414634145,0.6153846153846154,0.6143704680290045,0.6143704680290045,sessions_labeled_emotion_boredom,random_forest,0.6153846153846154
support,39.0,39.0,0.6153846153846154,78.0,78.0,sessions_labeled_emotion_boredom,random_forest,0.6153846153846154
precision,0.6842105263157895,0.6071428571428571,0.6382978723404256,0.6456766917293233,0.6464965605503119,sessions_labeled_emotion_boredom,KNN,0.6382978723404256
recall,0.5416666666666666,0.7391304347826086,0.6382978723404256,0.6403985507246377,0.6382978723404256,sessions_labeled_emotion_boredom,KNN,0.6382978723404256
f1-score,0.6046511627906976,0.6666666666666666,0.6382978723404256,0.6356589147286822,0.6349991753257463,sessions_labeled_emotion_boredom,KNN,0.6382978723404256
support,48.0,46.0,0.6382978723404256,94.0,94.0,sessions_labeled_emotion_boredom,KNN,0.6382978723404256
precision,0.7,0.5405405405405406,0.574468085106383,0.6202702702702703,0.6219666474985623,sessions_labeled_emotion_boredom,naive_bayes,0.574468085106383
recall,0.2916666666666667,0.8695652173913043,0.574468085106383,0.5806159420289855,0.574468085106383,sessions_labeled_emotion_boredom,naive_bayes,0.574468085106383
f1-score,0.4117647058823529,0.6666666666666666,0.574468085106383,0.5392156862745098,0.5365039632874427,sessions_labeled_emotion_boredom,naive_bayes,0.574468085106383
support,48.0,46.0,0.574468085106383,94.0,94.0,sessions_labeled_emotion_boredom,naive_bayes,0.574468085106383
precision,0.5806451612903226,0.625,0.5957446808510638,0.6028225806451613,0.6023507206588882,sessions_labeled_emotion_boredom,SVM,0.5957446808510638
recall,0.75,0.43478260869565216,0.5957446808510638,0.592391304347826,0.5957446808510638,sessions_labeled_emotion_boredom,SVM,0.5957446808510638
f1-score,0.6545454545454547,0.5128205128205128,0.5957446808510638,0.5836829836829838,0.5851906958289937,sessions_labeled_emotion_boredom,SVM,0.5957446808510638
support,48.0,46.0,0.5957446808510638,94.0,94.0,sessions_labeled_emotion_boredom,SVM,0.5957446808510638
precision,0.676056338028169,0.6805555555555556,0.677570093457944,0.6783059467918623,0.6780536542202331,sessions_labeled_emotion_calm,decision_tree,0.677570093457944
recall,0.8067226890756303,0.5157894736842106,0.677570093457944,0.6612560813799204,0.677570093457944,sessions_labeled_emotion_calm,decision_tree,0.677570093457944
f1-score,0.735632183908046,0.5868263473053893,0.677570093457944,0.6612292656067176,0.6695735181264929,sessions_labeled_emotion_calm,decision_tree,0.677570093457944
support,119.0,95.0,0.677570093457944,214.0,214.0,sessions_labeled_emotion_calm,decision_tree,0.677570093457944
precision,0.7415730337078652,0.5955056179775281,0.6685393258426966,0.6685393258426966,0.6792071708117662,sessions_labeled_emotion_calm,random_forest,0.6685393258426966
recall,0.6470588235294118,0.6973684210526315,0.6685393258426966,0.6722136222910217,0.6685393258426966,sessions_labeled_emotion_calm,random_forest,0.6685393258426966
f1-score,0.6910994764397906,0.6424242424242425,0.6685393258426966,0.6667618594320166,0.6703167922533768,sessions_labeled_emotion_calm,random_forest,0.6685393258426966
support,102.0,76.0,0.6685393258426966,178.0,178.0,sessions_labeled_emotion_calm,random_forest,0.6685393258426966
precision,0.6263736263736264,0.4959349593495935,0.5514018691588785,0.5611542928616099,0.5684686106386585,sessions_labeled_emotion_calm,KNN,0.5514018691588785
